wagon_weight_in_ton,cargo_weight,Distance,dist_opt,Path_is_optimal
937,1356,910,2,0
1146,846,1657,4,1
1189,1076,1993,3,0
903,1416,2378,4,1
699,625,2864,4,0
1076,990,1726,3,1
1115,1388,2411,3,1
1123,1545,1782,2,1
572,819,2835,3,1
716,721,2570,5,1
1417,514,275,2,1
862,604,2077,5,1
685,1247,1175,4,1
671,1172,1515,3,1
1111,1458,2125,2,1
534,451,483,2,1
745,1423,272,3,1
810,1105,1280,2,1
926,743,234,5,1
1459,1106,1244,3,0
738,1141,1351,5,0
702,1094,1045,5,0
720,1429,2413,2,0
622,1501,1040,4,0
643,1269,2441,4,0
1049,1233,1404,2,1
1198,1157,2655,5,0
1206,597,2762,4,0
919,1220,1488,4,0
1398,558,2288,3,0
761,1582,230,4,0
753,1146,1981,3,0
835,1322,419,4,0
803,1332,1445,4,0
1142,1580,2208,2,1
874,1460,410,4,1
1295,915,2245,2,1
1026,1334,2919,3,0
634,867,849,5,1
646,454,653,4,0
1435,1007,624,5,0
677,1214,1796,4,0
1441,1111,1723,2,1
580,928,719,5,1
945,685,612,4,1
850,987,2845,5,0
1309,1477,693,2,1
1025,917,2624,3,1
584,1568,330,5,0
519,864,544,3,0
1034,1145,2680,5,0
1456,1171,2631,5,0
1488,476,2898,5,0
617,577,2249,5,0
1131,938,1703,4,1
696,1386,1999,5,0
1280,1214,2651,5,1
841,1570,2834,3,0
1206,888,772,5,0
1020,803,997,5,0
1000,614,2380,3,0
812,849,2631,5,0
776,1314,915,4,0
572,464,1304,3,1
776,640,911,4,0
992,1108,1950,3,1
649,524,2277,3,0
1056,406,281,4,0
632,1371,2293,5,1
504,1013,2560,3,1
1284,684,853,4,1
602,583,1967,2,1
875,413,1265,5,0
1145,1316,2490,4,0
1379,1328,2324,2,1
529,968,1741,2,0
632,658,2905,2,0
650,1080,475,3,0
731,464,2880,5,1
792,1098,747,4,0
1253,1303,1411,4,1
751,730,2031,4,1
1488,848,1138,5,1
1412,1059,1006,4,1
692,1311,2531,5,0
1410,1042,2447,5,1
1191,1135,1512,3,0
1175,1309,2722,4,0
634,815,2270,2,0
573,800,538,5,1
1277,924,2624,5,0
1445,772,1158,4,0
1228,1203,2463,4,0
1357,1246,2503,2,0
1329,549,1138,4,0
768,521,2249,5,0
636,715,276,3,1
1241,534,1606,4,1
591,709,2058,2,1
501,579,911,5,0
1141,661,365,2,1
632,1521,2290,4,1
1368,1519,1256,5,1
969,625,2600,2,1
1431,1123,1817,4,1
1011,548,1919,4,0
1040,1540,1184,4,1
1424,518,493,2,1
1026,1544,1432,2,0
1391,1274,1355,4,0
1481,1367,1365,5,0
1217,1160,2129,5,1
1205,691,2166,4,0
1343,845,2327,2,0
694,1515,1136,5,1
1268,1106,2861,5,1
835,1324,269,4,0
930,1281,256,4,0
593,495,1039,4,1
1100,529,2061,3,1
746,633,954,3,1
834,918,498,4,1
509,980,1563,5,1
1311,1515,431,2,0
1214,900,2037,4,1
1269,1458,907,4,1
1362,1554,1690,2,0
824,432,1005,3,1
717,798,356,3,0
1072,472,1138,3,1
1096,1094,1672,3,1
645,463,1139,5,0
997,623,124,3,1
681,862,1284,4,0
1009,1433,2654,3,1
949,1314,2482,3,0
692,1251,2068,2,1
589,1243,925,2,0
1280,1384,2215,3,1
1488,1554,512,5,1
1470,1063,237,4,1
820,918,228,5,0
935,746,2331,3,0
552,1012,2925,3,1
953,669,1584,4,0
1281,665,1526,2,0
510,1304,2941,5,1
1429,929,2006,4,1
1050,408,1090,2,0
1421,1337,1117,2,1
665,973,2742,4,0
1333,667,1238,3,0
1177,819,2558,4,1
1399,1452,171,2,0
528,884,122,4,1
1232,1351,2899,3,1
565,1202,1243,4,1
786,589,2547,4,0
1230,525,2823,2,0
708,1430,1214,2,1
1368,543,1058,3,1
718,499,291,5,1
650,1303,2907,5,0
1327,841,1620,3,0
1386,606,787,5,1
957,911,979,2,1
1170,1353,160,2,0
1144,1134,2387,2,1
1111,1229,1212,3,1
548,848,892,5,0
955,771,540,5,1
653,890,134,2,0
1433,527,1413,3,0
1049,676,301,4,0
919,976,2726,2,0
963,659,1070,5,0
516,453,1895,3,1
787,1050,2091,5,1
871,571,1257,5,0
1350,1580,254,2,0
768,1103,777,2,1
639,1200,436,4,0
580,754,2891,5,1
883,945,674,3,1
759,1229,2977,4,0
1471,1132,2589,2,1
950,884,1754,5,0
1095,1272,453,3,1
1181,1467,2864,5,0
880,563,357,2,1
1116,797,980,5,1
1410,716,1406,3,0
1389,445,1896,5,0
532,1546,291,3,1
574,419,817,4,1
970,879,2322,3,0
1274,462,2602,5,0
553,683,474,5,0
701,1214,760,5,0
902,978,2048,3,1
1344,495,2832,2,0
1263,1088,2767,5,0
1492,901,2783,5,1
585,1154,1255,2,0
1330,704,2950,3,0
1181,872,2529,4,1
1331,1245,912,5,0
827,1222,2180,2,0
1325,702,2115,4,1
1298,700,2309,3,1
1156,1307,2478,5,1
970,718,996,4,0
793,737,2941,5,0
1037,1239,1842,2,0
1456,677,866,5,0
1021,924,1744,2,0
1441,1593,2598,2,1
569,1359,227,5,1
1267,774,480,5,0
1221,730,2403,2,1
759,631,635,4,0
639,483,2690,2,0
1236,971,2005,5,1
783,1239,996,2,0
551,569,997,2,0
883,425,2088,2,0
754,1193,824,4,1
614,823,598,4,1
510,933,1598,2,1
1041,1065,2295,5,0
1371,1496,1367,5,1
968,643,1110,4,0
637,1181,507,5,0
957,901,2821,3,0
961,624,1391,4,0
1375,1202,2158,2,0
899,713,611,2,1
1430,711,2014,4,1
1115,1169,2090,2,0
767,694,1663,4,1
520,700,2039,5,1
1015,1017,2779,2,1
699,1053,2412,5,0
697,1326,2451,4,1
584,996,2533,2,0
1340,799,2909,5,0
1012,1086,684,3,0
1153,1261,3000,5,1
1177,529,2337,3,0
1424,774,2099,3,0
1039,985,2549,3,0
1272,733,1356,3,0
982,1137,2199,3,1
1042,1457,2851,2,1
869,1596,1621,5,0
1363,502,487,5,1
796,470,886,3,1
633,1543,2222,5,0
1436,995,1423,4,1
911,953,1833,3,1
873,845,1448,3,1
1168,444,2078,4,1
665,563,853,3,0
524,930,1479,4,1
759,1353,2716,3,1
1087,696,1981,4,1
1386,1338,312,2,0
1216,515,2935,2,1
1360,889,2901,4,0
1053,1109,2450,5,1
586,1261,772,4,1
1162,518,2169,3,0
1458,653,1326,5,0
505,1257,2637,3,0
977,1232,562,2,0
1467,801,2490,2,0
1246,1379,2810,5,1
1494,938,563,5,0
1149,716,2601,3,1
903,863,577,2,1
520,1091,1911,2,0
610,1521,1297,5,1
1485,752,1793,5,1
1252,1218,984,3,0
841,1557,2537,2,1
784,682,1367,2,0
632,1584,810,4,0
1327,1121,1652,5,0
517,1276,2769,2,0
965,1496,2529,2,0
1399,1506,1690,4,0
1328,401,2839,4,1
532,986,565,4,0
1256,738,2538,4,0
1410,1090,1759,3,0
744,1543,1673,2,1
1172,1402,2683,2,1
1366,405,1803,5,0
1082,477,2036,2,1
531,819,1030,4,1
1091,1000,991,5,0
857,600,600,3,0
1500,899,1771,2,1
713,1511,2567,5,1
1243,1597,1715,5,0
812,1391,1076,4,1
910,557,2544,2,0
680,1576,1346,5,0
728,461,1026,5,0
1263,1523,167,4,1
618,798,469,3,1
1323,1184,679,3,1
1248,592,918,3,0
819,1564,1000,2,1
1287,910,2697,2,0
570,774,521,2,0
640,693,2165,3,1
511,706,2431,5,0
1419,1187,290,5,1
746,982,2935,3,0
904,1529,696,5,0
1016,1013,2854,2,0
1055,617,2897,5,1
751,467,171,2,1
910,1435,1755,4,1
1115,1568,2409,3,0
930,622,444,4,0
951,1084,1252,5,0
826,471,2648,3,1
1005,1250,510,4,1
880,1539,1741,4,1
1078,746,641,5,0
1334,1395,458,2,0
1166,1337,819,2,1
1285,767,1407,3,0
1240,1455,1925,4,1
725,1036,2309,2,0
1494,1284,2973,3,0
571,958,1195,2,0
757,1567,1479,5,0
754,1174,1692,3,1
1047,1069,2730,2,0
514,482,391,4,1
1398,1478,182,3,0
908,924,1531,4,1
953,511,1685,2,1
1499,1081,2552,3,0
1473,740,1452,2,0
937,612,761,2,1
